name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;windspeed;winddir;sealevelpressure;cloudcover;visibility;conditions;description
MOROCCO;01/01/1994;17.9;11.1;13.5;17.9;11.1;13.5;12.2;92.1;0;0;0;;11.2;93.4;1031.1;51.8;5.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;01/02/1994;16;11.1;13.5;16;11.1;13.5;12;90.9;0;0;0;;14.8;44.9;1026.5;69.1;6.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;01/03/1994;17.2;10.9;13.5;17.2;10.9;13.5;12.1;91.3;0;0;0;;14.8;164.1;1023.9;80;4.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;01/04/1994;16.2;9.1;12;16.2;8;11.9;11.3;95.9;0;0;0;;11.2;171.7;1023.8;81;5.4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;01/05/1994;15.4;5.6;9.7;15.4;3.1;8.8;7.4;86.7;4;100;4.17;rain;14.8;90.5;1023.9;21.3;9;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;01/06/1994;13.1;7.1;10.2;13.1;4.4;9.4;8;86.4;0;0;0;;50;220.3;1010.6;80;7.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;01/07/1994;13.6;8.1;10.6;13.6;4.4;9.1;8.5;87.6;19;100;12.5;rain;25.9;219.4;1013.1;83.3;6.2;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.
MOROCCO;01/08/1994;16;9.1;12.2;16;7.3;11.6;9.7;85.2;0.1;100;4.17;rain;14.8;221.6;1023;61.5;8.9;Rain, Partially cloudy;Partly cloudy throughout the day with early morning rain.
MOROCCO;01/09/1994;15.6;6.9;10.5;15.6;5.7;10.1;8.7;89.4;0.1;100;4.17;rain;14.8;191.8;1022.5;48.6;8.2;Rain, Partially cloudy;Partly cloudy throughout the day with morning rain.
MOROCCO;01/10/1994;16.4;12.4;14.1;16.4;12.4;14.1;11.9;86.6;7;100;4.17;rain;33.5;220.5;1020.3;80.8;7.2;Rain, Partially cloudy;Partly cloudy throughout the day with rain.
MOROCCO;01/11/1994;16.7;10.1;12.7;16.7;10.1;12.7;11.1;90.5;0.2;100;8.33;rain;7.6;176.7;1026.1;58.9;7.6;Rain, Partially cloudy;Clearing in the afternoon with a chance of rain throughout the day.
MOROCCO;01/12/1994;18.1;8.7;12.6;18.1;6.8;12.4;10.4;87;0;0;0;;22.3;59.2;1026.8;24;8.1;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/13/1994;17.6;10.6;13.1;17.6;10.6;13.1;12.1;94;0;0;0;;11.5;9.5;1026.7;35.1;4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/14/1994;12.2;8.4;9.8;12.2;8.4;9.8;9.5;98.5;0;0;0;;11.2;110.3;1028.6;83.8;0.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/15/1994;16.2;9.6;13;16.2;8.6;12.9;11.4;90.4;0;0;0;;11.2;55.7;1027.4;80;6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/16/1994;14.4;9.1;12.4;14.4;8;12.3;7.8;75;0;0;0;;11.2;167.7;1018.7;75;8.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/17/1994;14.4;8.1;10.8;14.4;6.1;9.7;6.8;77.6;0;0;0;;18.4;71.9;1010.1;61.1;8.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/18/1994;13.1;5.1;9.1;13.1;2.5;7.9;5.4;78.1;0;0;0;;22.3;50.1;1011.9;48.2;8.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/19/1994;14.1;5.1;9.5;14.1;3.3;9.2;7;84.6;0;0;0;;22.3;348.8;1017.1;70;8.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/20/1994;13.4;8.1;10.1;13.4;6.8;10;8.1;87.9;0;0;0;;11.2;18.5;1020.1;74;8.2;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/21/1994;14.6;5.1;8.8;14.6;3.3;8.4;6.5;86.3;0;0;0;;11.2;183;1021;40.8;7.4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/22/1994;15.1;4.6;9.1;15.1;3.1;8.7;6.7;85.9;0;0;0;;11.2;46.9;1023.7;15;7.2;Clear;Clear conditions throughout the day.
MOROCCO;1/23/1994;16.4;5.1;9.4;16.4;2.9;8.4;6.6;83.6;0;0;0;;14.8;65;1030.3;0;9.2;Clear;Clear conditions throughout the day.
MOROCCO;1/24/1994;15.7;5.1;9.5;15.7;2.5;9;5.9;80.2;0;0;0;;14.8;32.8;1032.4;0;10;Clear;Clear conditions throughout the day.
MOROCCO;1/25/1994;15.6;4.9;9.6;15.6;3.1;9.1;7.8;89.1;1;100;4.17;rain;11.2;163.9;1030.9;5.7;9.3;Rain;Clear conditions throughout the day with rain in the morning and afternoon.
MOROCCO;1/26/1994;16;5.7;9.9;16;4.3;9.6;7.6;86.7;0;0;0;;14.8;293.6;1029.4;44.4;4.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/27/1994;16.9;2.7;10;16.9;0.5;9.5;6.7;82.7;0;0;0;;11.2;115.6;1029.2;0;5.9;Clear;Clear conditions throughout the day.
MOROCCO;1/28/1994;17.4;7.1;11.8;17.4;5.7;11.5;8;79;0;0;0;;11.2;137.9;1030.3;0;8.4;Clear;Clear conditions throughout the day.
MOROCCO;1/29/1994;17.7;5.6;10.5;17.7;4;10.1;6.5;79;0;0;0;;7.6;155.4;1027.4;10;8.1;Clear;Clear conditions throughout the day.
MOROCCO;1/30/1994;18.6;4.6;10.6;18.6;1.9;10.2;6.6;77.9;0;0;0;;18.4;198.4;1025.1;61.1;7.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;1/31/1994;17.7;6.7;11.8;17.7;6.7;11.6;8.8;82.8;0;0;0;;7.6;159.3;1022.5;58;6.2;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/01/1994;16.4;8.1;11.9;16.4;8;11.8;8.8;82.3;0;0;0;;11.2;196.5;1022.7;67.3;5.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/02/1994;16.4;9.9;12.2;16.4;9.9;12.2;10.8;91.5;0;0;0;;11.2;174.9;1026.7;74.4;3.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/03/1994;16;8.4;12.4;16;7.2;12.3;10.6;89.9;0;0;0;;37.1;227.5;1020.2;81.7;3.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/04/1994;13.1;7.9;10.5;13.1;3.8;9;6;74.6;16;100;12.5;rain;29.5;304.2;1014.2;93;6.5;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.
MOROCCO;02/05/1994;12.1;9.1;10.2;12.1;6.4;8.6;6.4;78.5;2.5;100;8.33;rain;25.9;307.9;1019;95;7.7;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.
MOROCCO;02/06/1994;16;10.1;12.9;16;10.1;12.9;11.8;92.6;4.5;100;8.33;rain;14.8;244.6;1021.5;84.4;6.9;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;02/07/1994;16.4;0.1;10.7;16.4;-4.9;10.1;10.8;93.5;0;0;0;;18.4;247.3;1024.3;69;11.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/08/1994;14.9;0.1;10.4;14.9;0.1;10.2;6.4;74.1;5;100;4.17;rain;18.4;112.5;1030.1;44.4;8.3;Rain, Partially cloudy;Becoming cloudy in the afternoon with early morning rain.
MOROCCO;02/09/1994;17.9;5.2;10.6;17.9;2.6;9.6;4.6;69.7;0;0;0;;18.4;145.1;1028.1;46.3;8.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/10/1994;16;4.6;11.4;16;3.4;11.3;6.6;73.8;0;0;0;;11.2;95;1027;41.1;8.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/11/1994;17.1;5.9;11.9;17.1;4.3;11.2;9;83.3;0;0;0;;14.8;305.7;1025;3.8;6.6;Clear;Clear conditions throughout the day.
MOROCCO;02/12/1994;14.1;8.1;10.4;14.1;7.2;10.2;9.4;94.3;0;0;0;;7.6;257.2;1020.3;20;2.4;Clear;Partly cloudy throughout the day.
MOROCCO;2/13/1994;15.7;6.1;9.5;15.7;4.5;9.1;7.6;88.6;0;0;0;;14.8;262.9;1016.2;42.9;4.3;Partially cloudy;Partly cloudy throughout the day.
